review_id,emp_id,review_score,review_date
1,4010,Good,2024-10-05
2,6408,Needs Improvement,2025-05-08
3,3037,Good,2025-05-02
4,17026,Average,2024-07-31
5,6777,Average,2024-10-29
6,13768,Good,2024-10-10
7,13259,Good,2024-09-12
8,7014,Average,2024-11-27
9,14433,Excellent,2025-04-01
10,15709,Good,2024-12-13
11,18030,Average,2025-01-31
12,15853,Average,2024-09-23
13,1170,Needs Improvement,2025-01-22
14,5741,Good,2024-10-30
15,18412,Average,2024-12-23
16,7531,Average,2024-11-08
17,15633,Needs Improvement,2024-08-31
18,10413,Good,2025-03-06
19,6045,Needs Improvement,2025-03-20
20,19401,Excellent,2024-11-27
21,15526,Good,2024-12-22
22,3229,Average,2025-06-25
23,4058,Average,2024-07-24
24,6822,Needs Improvement,2024-11-16
25,5590,Needs Improvement,2024-10-26
26,15513,Excellent,2025-07-05
27,3522,Average,2024-10-16
28,8154,Excellent,2024-07-27
29,15311,Needs Improvement,2025-07-02
30,10528,Needs Improvement,2025-06-23
31,2299,Excellent,2025-06-23
32,5273,Good,2025-01-29
33,17168,Good,2024-10-06
34,18215,Excellent,2025-05-16
35,2696,Good,2025-06-16
36,9933,Excellent,2025-01-31
37,9578,Needs Improvement,2025-01-24
38,13616,Good,2025-02-18
39,16027,Good,2024-11-29
40,11505,Needs Improvement,2025-06-01
41,3595,Needs Improvement,2024-11-04
42,7415,Good,2025-06-22
43,5819,Average,2025-05-28
44,18433,Needs Improvement,2025-02-06
45,2411,Excellent,2024-10-08
46,5643,Good,2024-08-10
47,14962,Excellent,2025-05-27
48,580,Excellent,2025-06-10
49,16217,Good,2025-05-13
50,12350,Excellent,2024-08-10
51,13570,Average,2024-08-15
52,13210,Average,2024-09-22
53,4114,Excellent,2024-12-15
54,6352,Excellent,2024-12-20
55,17719,Good,2025-02-28
56,5282,Excellent,2024-09-15
57,19361,Needs Improvement,2025-03-04
58,13791,Good,2025-01-30
59,18403,Good,2024-07-24
60,12035,Needs Improvement,2025-01-03
61,17940,Good,2024-09-17
62,19774,Good,2024-12-21
63,3503,Average,2025-03-23
64,2262,Average,2024-12-20
65,18677,Needs Improvement,2024-07-22
66,8635,Excellent,2025-01-14
67,6686,Average,2025-06-16
68,1197,Needs Improvement,2025-05-17
69,9601,Good,2025-06-25
70,14607,Average,2025-02-02
71,4392,Excellent,2024-11-27
72,18788,Good,2025-02-18
73,11860,Average,2024-11-24
74,2160,Excellent,2024-08-21
75,13794,Good,2024-08-18
76,8956,Good,2024-08-13
77,1055,Average,2024-10-05
78,4498,Excellent,2024-11-28
79,9120,Excellent,2025-04-15
80,19681,Good,2024-10-24
81,11474,Needs Improvement,2025-03-28
82,3970,Excellent,2025-02-15
83,2383,Excellent,2025-02-02
84,14645,Good,2025-04-21
85,3468,Good,2024-12-04
86,18844,Excellent,2025-05-25
87,11911,Needs Improvement,2025-04-27
88,8934,Excellent,2025-03-17
89,8780,Needs Improvement,2025-06-08
90,7210,Excellent,2025-05-14
91,2395,Good,2024-10-29
92,19598,Needs Improvement,2025-05-23
93,11273,Excellent,2025-06-10
94,13906,Average,2025-05-18
95,5094,Average,2025-06-09
96,15150,Average,2025-03-13
97,3422,Average,2024-07-14
98,9032,Good,2024-11-08
99,11962,Average,2025-03-10
100,3485,Average,2024-12-25
101,7316,Excellent,2025-03-28
102,12996,Average,2024-09-01
103,9157,Good,2025-03-17
104,14452,Excellent,2024-11-01
105,9233,Needs Improvement,2025-04-29
106,2412,Needs Improvement,2025-04-09
107,3612,Excellent,2025-05-22
108,5981,Needs Improvement,2025-05-12
109,15572,Average,2024-12-13
110,1062,Good,2024-11-15
111,19907,Excellent,2024-10-09
112,10966,Good,2024-12-24
113,8,Excellent,2024-12-13
114,428,Needs Improvement,2024-09-25
115,507,Good,2025-06-30
116,2752,Good,2024-12-24
117,10869,Average,2024-09-13
118,11970,Average,2025-03-15
119,15235,Needs Improvement,2024-11-01
120,16018,Average,2024-07-28
121,10939,Average,2025-04-04
122,16476,Average,2024-09-30
123,16562,Average,2025-04-20
124,6450,Needs Improvement,2024-09-24
125,17733,Good,2025-04-16
126,8039,Excellent,2024-11-06
127,12666,Needs Improvement,2024-08-25
128,3427,Good,2025-01-09
129,3858,Good,2024-07-23
130,12703,Good,2024-07-24
131,10437,Needs Improvement,2024-10-20
132,11136,Average,2024-10-21
133,19157,Good,2024-08-13
134,16284,Excellent,2025-04-23
135,19017,Needs Improvement,2025-05-27
136,11324,Needs Improvement,2025-03-09
137,17973,Needs Improvement,2024-11-17
138,13013,Needs Improvement,2024-11-10
139,7331,Excellent,2025-04-26
140,10205,Excellent,2025-01-09
141,4345,Average,2025-01-29
142,11797,Good,2024-08-01
143,147,Good,2024-10-08
144,6296,Average,2024-07-13
145,6092,Excellent,2025-04-07
146,8899,Excellent,2024-07-14
147,2738,Average,2024-09-25
148,2318,Average,2024-07-17
149,773,Excellent,2025-04-12
150,17933,Good,2025-02-16
151,14926,Good,2024-12-05
152,8078,Needs Improvement,2024-07-06
153,11773,Average,2025-05-22
154,18892,Needs Improvement,2025-04-28
155,12165,Average,2025-06-08
156,17839,Average,2025-03-29
157,8120,Average,2024-10-27
158,8456,Good,2025-02-22
159,11461,Average,2024-10-28
160,13327,Average,2025-05-02
161,15022,Excellent,2024-10-02
162,3632,Needs Improvement,2025-05-02
163,509,Good,2024-10-25
164,16724,Needs Improvement,2024-10-12
165,17500,Excellent,2025-04-26
166,5252,Average,2024-09-28
167,3091,Good,2025-02-14
168,18277,Excellent,2024-09-13
169,18227,Excellent,2025-05-24
170,8761,Average,2025-04-02
171,15964,Good,2025-05-06
172,19966,Excellent,2024-12-07
173,6918,Needs Improvement,2025-06-03
174,7728,Average,2025-01-27
175,19991,Good,2025-01-15
176,8088,Excellent,2024-09-24
177,1282,Good,2025-06-18
178,10730,Good,2024-09-22
179,30,Good,2025-01-31
180,14328,Average,2024-10-23
181,5875,Average,2025-05-10
182,7286,Needs Improvement,2025-02-13
183,15712,Average,2025-02-09
184,14792,Average,2025-05-20
185,3848,Excellent,2025-04-30
186,5596,Average,2025-05-23
187,16025,Good,2024-12-01
188,6113,Good,2024-11-16
189,11015,Average,2024-08-29
190,9363,Excellent,2025-02-11
191,1499,Excellent,2025-04-08
192,11350,Excellent,2024-11-15
193,14324,Good,2025-05-16
194,8109,Average,2025-01-12
195,16737,Average,2024-11-14
196,17382,Average,2024-08-27
197,8168,Excellent,2025-04-19
198,6361,Average,2024-07-13
199,2071,Needs Improvement,2024-12-20
200,18642,Good,2025-07-02
201,3651,Good,2024-07-06
202,16023,Excellent,2024-10-11
203,8238,Good,2024-09-20
204,8847,Good,2025-05-27
205,8130,Average,2025-06-22
206,11633,Average,2024-12-23
207,12341,Needs Improvement,2025-06-14
208,15929,Average,2025-03-16
209,15887,Average,2025-02-14
210,6067,Good,2024-09-21
211,4999,Excellent,2025-06-12
212,8111,Needs Improvement,2025-04-14
213,9746,Needs Improvement,2025-03-17
214,12389,Excellent,2025-01-31
215,17475,Average,2025-06-03
216,17774,Good,2024-08-23
217,18001,Needs Improvement,2025-04-17
218,6197,Average,2024-11-18
219,18828,Good,2025-02-20
220,4648,Needs Improvement,2025-06-06
221,7461,Average,2025-02-08
