user,department,designation
1,Operations,Marketing Executive
2,Sales,Manager
3,Marketing,Data Analyst
4,HR,Data Analyst
5,Sales,Trainer
6,IT,Manager
7,Finance,Data Analyst
8,HR,Trainer
9,IT,Software Engineer
10,Operations,Software Engineer
11,Operations,Software Engineer
12,HR,Manager
13,Sales,Data Analyst
14,Finance,Manager
15,HR,Software Engineer
16,Sales,Manager
17,Sales,Manager
18,IT,Data Analyst
19,Marketing,Manager
20,IT,Software Engineer
21,Sales,Trainer
22,HR,Trainer
23,IT,Marketing Executive
24,HR,Trainer
25,Operations,Data Analyst
26,Finance,Manager
27,HR,Software Engineer
28,Sales,Data Analyst
29,IT,Trainer
30,Sales,Data Analyst
31,Operations,Trainer
32,Operations,Marketing Executive
33,Finance,Data Analyst
34,Finance,Marketing Executive
35,IT,Data Analyst
36,IT,Data Analyst
37,Operations,Manager
38,Finance,Software Engineer
39,Finance,Trainer
40,Marketing,Marketing Executive
41,Marketing,Manager
42,Finance,Software Engineer
43,Finance,Trainer
44,HR,Trainer
45,HR,Data Analyst
46,Finance,Trainer
47,IT,Data Analyst
48,Marketing,Software Engineer
49,Marketing,Trainer
50,IT,Manager
51,Marketing,Software Engineer
52,IT,Marketing Executive
53,IT,Software Engineer
54,Operations,Trainer
55,Marketing,Software Engineer
56,Sales,Marketing Executive
57,Marketing,Manager
58,Marketing,Data Analyst
59,Sales,Marketing Executive
60,Marketing,Manager
61,HR,Marketing Executive
62,Sales,Software Engineer
63,Operations,Data Analyst
64,Operations,Trainer
65,HR,Software Engineer
66,IT,Software Engineer
67,IT,Data Analyst
68,Marketing,Manager
69,Finance,Manager
70,IT,Manager
71,HR,Data Analyst
72,Marketing,Marketing Executive
73,IT,Marketing Executive
74,Sales,Marketing Executive
75,Finance,Manager
76,Finance,Manager
77,Finance,Software Engineer
78,IT,Trainer
79,Finance,Manager
80,Operations,Trainer
81,Marketing,Trainer
82,IT,Marketing Executive
83,IT,Data Analyst
84,HR,Software Engineer
85,Marketing,Data Analyst
86,Marketing,Software Engineer
87,IT,Trainer
88,Finance,Software Engineer
89,Operations,Data Analyst
90,Operations,Data Analyst
91,Marketing,Marketing Executive
92,IT,Marketing Executive
93,IT,Data Analyst
94,Marketing,Marketing Executive
95,Marketing,Trainer
96,IT,Manager
97,Marketing,Data Analyst
98,Operations,Manager
99,Operations,Software Engineer
100,Operations,Trainer
101,Marketing,Manager
102,Operations,Data Analyst
103,Sales,Marketing Executive
104,Finance,Trainer
105,Sales,Marketing Executive
106,Marketing,Trainer
107,Marketing,Manager
108,IT,Manager
109,Operations,Software Engineer
110,Marketing,Software Engineer
111,Operations,Software Engineer
112,HR,Marketing Executive
113,Marketing,Marketing Executive
114,Sales,Data Analyst
115,Finance,Data Analyst
116,HR,Marketing Executive
117,Sales,Marketing Executive
118,Operations,Marketing Executive
119,Marketing,Data Analyst
120,Operations,Marketing Executive
121,Finance,Trainer
122,Sales,Trainer
123,Finance,Data Analyst
124,Operations,Marketing Executive
125,IT,Trainer
126,Marketing,Data Analyst
127,HR,Data Analyst
128,Finance,Manager
129,Sales,Data Analyst
130,Marketing,Software Engineer
131,Finance,Trainer
132,Operations,Data Analyst
133,Finance,Manager
134,Sales,Manager
135,IT,Manager
136,IT,Marketing Executive
137,Marketing,Software Engineer
138,IT,Data Analyst
139,Marketing,Marketing Executive
140,HR,Data Analyst
141,HR,Manager
142,Sales,Manager
143,Finance,Marketing Executive
144,Marketing,Marketing Executive
145,Marketing,Software Engineer
146,IT,Software Engineer
147,Finance,Marketing Executive
148,IT,Marketing Executive
149,Finance,Software Engineer
150,HR,Marketing Executive
151,Sales,Manager
152,Finance,Data Analyst
153,IT,Marketing Executive
154,IT,Software Engineer
155,Sales,Software Engineer
156,Finance,Software Engineer
157,Finance,Marketing Executive
158,Marketing,Manager
159,IT,Manager
160,HR,Trainer
161,HR,Manager
162,Sales,Data Analyst
163,HR,Data Analyst
164,Sales,Software Engineer
165,Sales,Data Analyst
166,Finance,Manager
167,Marketing,Data Analyst
168,HR,Software Engineer
169,IT,Manager
170,Marketing,Marketing Executive
171,IT,Data Analyst
172,Finance,Manager
173,Marketing,Manager
174,Sales,Manager
175,Marketing,Data Analyst
176,HR,Marketing Executive
177,Sales,Manager
178,Finance,Software Engineer
179,Operations,Manager
180,Operations,Data Analyst
181,Sales,Data Analyst
182,Finance,Manager
183,Finance,Manager
184,Sales,Marketing Executive
185,Sales,Marketing Executive
186,IT,Trainer
187,HR,Marketing Executive
188,Operations,Data Analyst
189,Operations,Marketing Executive
190,HR,Manager
191,IT,Manager
192,Finance,Marketing Executive
193,Finance,Trainer
194,Marketing,Data Analyst
195,Operations,Data Analyst
196,HR,Software Engineer
197,Finance,Data Analyst
198,HR,Marketing Executive
199,Operations,Data Analyst
200,Operations,Marketing Executive
201,Sales,Data Analyst
202,Marketing,Manager
203,Sales,Trainer
204,Finance,Manager
205,HR,Software Engineer
206,HR,Marketing Executive
207,Finance,Manager
208,Operations,Marketing Executive
209,Sales,Software Engineer
210,Sales,Software Engineer
211,Marketing,Trainer
212,Sales,Trainer
213,HR,Data Analyst
214,Marketing,Data Analyst
215,Operations,Data Analyst
216,Finance,Manager
217,Operations,Software Engineer
